IdAvaliacao;StatusPedido;NotaAvaliacao;PrecoProduto;Categoria;QuantidadeFotos;Peso;Comprimento;Altura;Largura;CidadeVendedor;DiasEnvio;DiasPrevistoEntrega
02484b7544bb08a43ee16332b327f209;delivered;5;49.900;informatica_acessorios;1;350;20;2;26;santos;6;14
025e7989212b48834e8b5bde1fdffdf2;delivered;1;339.900;eletrodomesticos_2;2;300;16;16;16;novo hamburgo;4;24
026725a76a65e38ebb117a2a4138dc09;delivered;4;18.490;telefonia;2;50;18;6;11;sao paulo;6;25
02888ff454c764d781939ef65355e5a4;delivered;1;14.990;eletronicos;1;150;22;11;16;sao paulo;6;26
030ea5d715585d5854b21ee757a9b58b;delivered;1;35.900;beleza_saude;1;350;18;13;18;ribeirao preto;6;20
030efb2a480f78b6c153b40b383a8da5;delivered;4;75.000;moveis_colchao_e_estofado;1;1700;70;10;100;sao paulo;4;17
03298aff6e3c3aaf489d061b11d38ab4;delivered;5;24.990;bebes;4;600;26;22;14;joinville;7;28
032cfb72d792d30b6181b482d85f8d1a;delivered;5;69.900;esporte_lazer;1;1200;26;26;15;curitiba;2;20
032d379803844fa08d2063909fa526fc;delivered;5;129.990;cool_stuff;1;1400;45;30;20;sao paulo;6;27
0337531844c392f80ff0e829cb06c3c8;delivered;5;27.900;alimentos;1;150;17;13;13;atibaia;3;27
036bac7dcf336feff8ee82009a67b01d;delivered;5;69.900;automotivo;6;5950;47;19;23;penapolis;6;22
037c201a9c0afe4dbbdcc42864a35a02;delivered;3;59.900;utilidades_domesticas;1;1100;25;12;35;jaguariuna;6;26
03b3143cc596bb50864988b76106a418;delivered;3;99.990;cool_stuff;1;900;44;24;31;sao paulo;5;20
03b90d79d2e3c02f33f3fa78f0f16068;delivered;5;36.000;brinquedos;1;150;28;13;22;barueri;4;19
03cc9d6acf67d527b906c43b3762f8d5;delivered;4;59.900;ferramentas_jardim;2;1850;37;22;40;sao jose do rio preto;8;29
03da0ec0918233e458ae980dfb975295;delivered;5;139.990;cool_stuff;1;1400;42;25;15;sao paulo;7;21
041f31fb77b4ccaf6ecdca38cb821b1d;delivered;3;35.000;fashion_bolsas_e_acessorios;4;250;26;12;22;diadema;4;25
043de5ea8416803ccd5a0eaf11c35aa3;delivered;5;32.290;consoles_games;3;600;24;20;27;sao paulo;10;28
047e5de635c9597e36880b047a43284d;delivered;4;64.000;perfumaria;1;341;20;18;16;presidente prudente;10;18
048f2c1863ecb829fa1743118faa3bc3;delivered;5;24.990;brinquedos;1;499;34;21;33;sao paulo;5;15
04a5c7d1df1876406d973dc4848a5e77;delivered;4;34.900;fashion_bolsas_e_acessorios;5;150;16;9;11;sete lagoas;7;31
04b111950a633f8bd54ae44ec658900e;delivered;5;135.000;construcao_ferramentas_construcao;1;50;52;5;52;sao paulo;7;8
04bcd611f13b587079c04472be3522e7;delivered;5;62.400;beleza_saude;1;700;18;15;15;engenheiro coelho;4;5
04bf4aa464b332d6d0949f1afff352d1;delivered;3;44.900;brinquedos;3;1250;30;8;30;salto;5;19
0508f6a6207fa536010145f92caa72fc;delivered;5;149.900;moveis_decoracao;3;6200;62;6;62;uba;21;91
05801b91bfda2e2aff045a9a88cbbc96;delivered;4;398.000;agro_industria_e_comercio;1;2650;30;30;20;curitiba;6;19
05a4cf019d9327dbe3018e91e68d4908;delivered;1;64.990;beleza_saude;1;350;19;12;13;sao luis;6;23
0005bc906dfe3b73261020bf8e9b76cf;delivered;5;171.000;esporte_lazer;7;225;25;18;18;praia grande;5;29
000688fa7009b3c9fafe4950b37cbc81;delivered;5;36.150;eletrodomesticos;2;475;24;13;15;praia grande;8;42
001d005e8f06c039464425cf266248e8;delivered;4;49.990;bebidas;1;4400;16;25;23;pocos de caldas;8;15
0036406b2cc6f30d2b33048647f6f5a3;delivered;5;16.900;cama_mesa_banho;1;200;20;12;20;sao bernardo do campo;6;14
00d26d1696bc378f7715f85624c0a285;delivered;5;42.990;brinquedos;4;200;16;7;11;sao paulo;4;22
00d5802a1de4ce376aeaf10a61d9fe76;delivered;5;45.040;beleza_saude;1;150;16;2;20;sao goncalo;4;11
00d7f0c3fd3b622c2689a84e06cbc38e;delivered;5;129.990;cool_stuff;1;1600;42;25;15;sao paulo;4;21
010ac5580af3d7330398a7d6ccf0717f;delivered;5;495.000;construcao_ferramentas_jardim;1;4550;53;36;15;pompeia;12;28
0139a3c30b3f7adc938fcfbf7ef77254;delivered;1;44.990;perfumaria;1;200;16;16;13;santo andre;6;16
014eb8f308510295c0aafb233df68d69;delivered;5;59.900;ferramentas_jardim;2;1850;37;22;40;sao jose do rio preto;8;31
0184ccf6bb7ea9bcfd3e2523598766af;delivered;4;99.000;esporte_lazer;1;902;19;21;16;curitiba;4;27
0186dfcf2c8bb3a8f902f92bd89cff7d;delivered;3;365.000;market_place;1;1100;25;15;45;sao bernardo do campo;4;26
018e39b7dbe872fd3b7b9ea07fe6a9bd;delivered;2;49.000;moveis_decoracao;2;400;69;11;11;curitiba;4;26
01e172d5d7d00fd14edec5a0ed5bab9c;delivered;5;27.990;telefonia;5;300;17;4;12;sao paulo;8;34
0280208daa05d4fbaa9ae4525a6a76a1;delivered;5;65.000;market_place;2;125;10;9;11;jaragua do sul;5;38
02aa1cb277f0b399f8f510d844398a3f;delivered;3;129.000;relogios_presentes;5;200;16;2;20;sao paulo;4;14
02dae59a597c87b10313d8d7191a2dfa;delivered;3;99.990;artes;1;1700;65;6;50;salto;8;20
02e1113952ee4bf035d552c3ebf65f67;delivered;4;138.000;relogios_presentes;3;584;16;11;13;guariba;4;17
02ec960f2ff4e06869377bf6aab96a44;delivered;5;21.990;telefonia;4;300;17;4;12;sao paulo;2;22
033fb23c97ecb11c0548f4763bef5773;delivered;5;18.900;eletronicos;1;133;18;11;14;maringa;8;28
03943775c3690d08e4cce3d5198fc2a4;delivered;4;74.000;casa_construcao;1;2483;18;14;16;piracicaba;6;20
03ac26641719d0fd60444c1ad9a67567;delivered;5;195.900;relogios_presentes;1;190;16;11;12;sumare;7;13
03ccc1453f9e06d7bda13b87eb24806d;delivered;2;109.000;brinquedos;5;4450;39;30;29;campo limpo paulista;6;27
03dd0cbfc4750e28d7ffd944c1b76322;delivered;5;169.800;pet_shop;1;127;18;10;14;sao jose dos campos;6;12
042cd74de8d76d3ef7b1bfdfd0e92835;delivered;5;110.000;relogios_presentes;3;584;16;11;13;ribeirao preto;6;34
044554d2695abd218a15c43c3fd58235;delivered;5;69.900;utilidades_domesticas;3;1450;21;17;22;rio de janeiro;9;28
048314354fefee6073f26477c739665d;delivered;5;59.900;cama_mesa_banho;1;900;33;9;38;ibitinga;7;27
04ae409fa9d2140fe3c84e10b33f2a09;delivered;5;28.900;eletrodomesticos;2;700;20;6;11;sao paulo;8;33
04bf8479c437fa1c982c529e7436a0f8;delivered;4;241.100;automotivo;1;7625;61;14;61;guarulhos;6;20
04ecc6f896add824049a84f60483c1f8;delivered;4;45.000;papelaria;3;800;23;7;16;itapecerica da serra;5;26
04ffe09745153b233502973c9a772e08;delivered;4;94.900;eletronicos;3;2500;98;8;35;maringa;4;24
0512b624f4554972e904fad45b1745e1;delivered;4;94.450;construcao_ferramentas_construcao;1;1150;26;42;26;varginha;6;27
05219ef8d65444fbc05e8400bb55a7c3;delivered;5;13.200;eletronicos;1;200;25;7;16;sao paulo;5;31
053e55bb249b3958af4f54c713652694;delivered;5;110.300;climatizacao;1;2000;32;51;16;aruja;12;40
059af74fe5436d1018a2109b59857ed9;delivered;4;36.990;construcao_ferramentas_construcao;1;680;20;12;15;sao paulo;6;12
05abfe9b0d325e9312ec0aad5ab9f34c;delivered;5;99.000;esporte_lazer;2;4800;58;10;50;guarulhos;4;19
05c524f633d97a11a12c94770d1243cb;delivered;5;66.990;beleza_saude;1;350;19;12;13;sao luis;14;48
06d3a25a4c66292e12388aaa7193cfc5;delivered;4;99.990;esporte_lazer;6;500;30;15;15;aperibe;8;28
0715beb44a2ae93900d16205a7ba9788;delivered;5;284.000;beleza_saude;1;1200;16;30;16;nova friburgo;7;23
0721c72ff34ff2dd2fe787f036f0ef88;delivered;4;29.990;fashion_bolsas_e_acessorios;5;200;16;16;16;porto alegre;3;16
0733626310e0e09fa48b28a454ffa00a;delivered;5;48.900;bebes;2;600;20;13;13;limeira;7;26
074f86ba25fd25ebdaaa25d680ce3d2a;delivered;5;17.990;telefonia;1;150;18;4;11;sao paulo;10;33
0758521cb28cad3246d91cefedeb3795;delivered;5;104.000;telefonia;8;260;19;7;13;cananeia;4;35
076e5ceb849c9ddf05cfb30bf223febb;delivered;5;699.000;eletrodomesticos;2;4920;65;11;33;louveira;8;23
078fd55c7c6963e1dfbaf52648e29079;delivered;5;34.000;automotivo;1;450;48;8;14;sao paulo;9;16
0791f4817be9c80e59504f9963e283ab;delivered;5;44.990;utilidades_domesticas;3;350;30;5;25;limeira;6;39
07988b8e7abb398e7f405a3c5bd7435f;delivered;4;1.914.580;cama_mesa_banho;3;24050;80;30;60;sao paulo;7;31
07edf36efd5d3c362d7498af76c837a7;delivered;5;185.000;esporte_lazer;2;4853;28;29;26;vicente de carvalho;6;19
083608d895f834151c01654b21a1c03d;delivered;3;99.900;ferramentas_jardim;7;1900;17;13;31;sao jose dos pinhais;10;31
084172b8ac17e9a65d63bb08f249b6bc;delivered;5;19.950;livros_interesse_geral;1;400;23;2;16;sao paulo;4;26
001ce468e08e9ee56753421128bec6f4;delivered;5;44.900;cama_mesa_banho;1;400;20;2;15;piracicaba;4;26
004580d2657b221e45f84f4169675ecd;delivered;5;12.990;NULL;;250;22;2;32;cotia;8;15
004727797fa0aee6e44eef52d8e29d97;delivered;5;319.000;relogios_presentes;1;346;18;10;13;sumare;6;22
007ecc4a546b25f971d391a3bab383e2;delivered;5;159.900;brinquedos;3;1200;28;13;21;joinville;6;32
00a1b1c8636bce2a676e93c203c1d585;delivered;4;19.990;beleza_saude;1;100;20;15;15;santo andre;9;28
00a3a78bad2da7636220de70d61cf916;delivered;1;230.000;casa_conforto;1;19800;45;15;35;ibitinga;6;18
0157cbf2ad5add2ac0c1cbe36ec903d0;delivered;4;116.990;moveis_escritorio;1;13388;54;47;28;itaquaquecetuba;15;25
0161e1db3a84a20f998b96d271eeec37;delivered;5;39.900;consoles_games;1;300;20;30;20;jussara;10;34
0185df4755be7045d22b951fba4a4b58;delivered;5;218.900;utilidades_domesticas;4;4050;22;51;22;sao paulo;5;27
018f5885814b98f2d5ef6d1f9b8b91df;delivered;5;279.990;utilidades_domesticas;3;10150;89;15;40;itajai;6;28
01e431670424432df0c011e5dda3c043;delivered;5;193.000;esporte_lazer;1;2200;22;22;22;guara;9;32
0212b7917a274aa7f27cc007a3876ff7;delivered;5;50.400;eletrodomesticos;1;100;18;8;13;praia grande;6;12
021bdc10161c63e27faf057be0541223;delivered;4;56.990;perfumaria;2;400;18;11;20;santo andre;5;38
021f2a15daad6d58a00422d72649bb25;delivered;5;46.900;automotivo;5;300;16;16;12;nova odessa;2;14
0226157823ca8fb1c2ee40a71c32afbb;delivered;4;14.500;malas_acessorios;1;100;35;10;20;sao paulo;2;8
026a25fd1ae986a8fdb60ad90e1b1f98;delivered;2;229.990;automotivo;3;1800;22;10;18;guarulhos;2;10
026e01f0618e7eb9a233c89001aa4eda;delivered;3;559.990;beleza_saude;1;200;16;6;11;sao paulo;6;19
02edcc296c450732d4e295911b5a4625;delivered;3;59.900;papelaria;1;600;16;6;11;sao paulo;13;42
0312e419cafc4b8b3007685aa09cce91;delivered;3;63.920;esporte_lazer;2;400;19;11;37;sao paulo;10;26
03215247632c5bc4a925c524d0a154ec;delivered;5;11.600;eletronicos;1;275;24;9;17;sao paulo;6;20
0367049c3d7c8e08b9fade8d6ceac5f9;delivered;5;179.900;moveis_decoracao;1;4800;62;6;62;uba;22;84
038339114df5e73f83b053bc5a11485e;delivered;4;34.900;fashion_bolsas_e_acessorios;5;150;16;9;11;sete lagoas;6;33
0385918df6cb6429d794d2ade9556103;delivered;5;99.990;automotivo;1;50;16;16;17;atibaia;6;22
03d2a9a86e3994afc71320ebb939646b;delivered;5;12.250;eletronicos;1;175;22;11;16;sao paulo;6;19
03e101fdbc5c9ebc109336729cec2b42;delivered;4;96.000;moveis_decoracao;7;2850;40;5;44;santo andre;6;15
0439a8dd4e0f915bb1b4e27b82f1cde6;delivered;5;78.000;pet_shop;2;3000;45;47;20;dois corregos;6;19
04517ded373140ef2ede4d95ba755d07;delivered;3;69.900;bebes;1;1150;18;18;11;sao paulo;6;12
04d6c6b5f8f4756cec328704add29d5f;delivered;5;99.990;cool_stuff;1;1200;42;25;15;sao paulo;4;22
04d9e36c3f8805240149625a63e36b24;delivered;4;155.900;esporte_lazer;1;2386;29;30;26;cascavel;6;28
0501aab2f381486c36bf0f071442c0c2;delivered;1;35.900;climatizacao;3;250;22;11;16;sao paulo;8;29
050dd0a699c07b81037ee2cfa217fe6a;delivered;5;88.900;moveis_decoracao;5;1850;21;57;15;guarulhos;7;13
05159ce43c37ae9f67c8376b097230dc;delivered;4;18.990;beleza_saude;3;150;43;13;14;sao paulo;6;22
053a15b41745f8946a5739da57289632;delivered;1;25.000;perfumaria;2;450;21;27;15;rio de janeiro;12;22
0547e155795e30647f8c29c476542197;delivered;4;169.990;automotivo;3;700;32;15;11;itapecerica da serra;8;22
05818228128378bfeac28ea1d734d215;delivered;5;89.900;malas_acessorios;2;550;45;15;35;sao paulo;6;13
05c968cc75440c647f58e6bfe1ee15bb;delivered;4;169.990;utilidades_domesticas;2;950;53;5;13;joinville;5;24
05cb4271b818716c889c0e9ebbbc9a5a;delivered;5;39.900;brinquedos;3;200;16;8;11;sao paulo;6;14
05d49508e8ef4575a2fde920baafdcf4;delivered;1;69.900;esporte_lazer;1;2300;20;20;20;jau;8;32
05eaa03391f1380fb81d4772fa1de18d;delivered;4;43.490;beleza_saude;1;250;31;4;22;sao paulo;8;17
05fffb7172e094fdad928d929e3fea51;delivered;1;129.990;moveis_escritorio;1;16125;81;7;83;itaquaquecetuba;9;40
064f091305fe54dfdf64e3a4e18bb811;delivered;5;59.000;consoles_games;2;250;16;7;15;cascavel;4;24
06755dcb0e7a3a2a63af32ee8c39c2a9;delivered;5;44.900;moveis_decoracao;4;650;25;14;19;guarulhos;6;25
06a54ecf9f552cf8e9713a68482b05ad;delivered;1;119.900;beleza_saude;1;304;20;15;15;petropolis;10;25
06a7cb32b349032651eedb561e871413;delivered;5;235.900;telefonia;4;450;17;3;11;lauro de freitas;8;23
06a88981a414e6f0182fcd2196ee9b04;delivered;5;799.000;relogios_presentes;1;450;18;12;14;navegantes;6;28
06b09346f68cadac663e6c62b26b8b3d;delivered;5;34.990;informatica_acessorios;1;217;16;14;14;sao paulo;7;13
06b41ca46ea26f76fd8a0eb94db45d4a;delivered;5;38.000;construcao_ferramentas_construcao;1;100;20;4;25;jacarei;7;12
06d08114b5186aba7aec24f842d42c19;delivered;3;299.900;construcao_ferramentas_construcao;1;1900;35;30;25;sao paulo;5;18
072aa82842434b050889c89a33c699a7;delivered;3;29.000;relogios_presentes;3;200;16;2;11;sao paulo;7;14
0732ab3dec22122bedc369ce4a975916;delivered;5;17.380;utilidades_domesticas;3;300;16;16;16;barueri;8;22
07405437bacbc37e029fe5f5e10cb4c3;delivered;5;86.570;utilidades_domesticas;1;4100;63;25;23;claudio;6;31
05b4a753d9187a0f23ab52ee5fef7656;delivered;4;109.700;moveis_decoracao;1;3450;43;18;22;fazenda rio grande;5;32
05b7545fd8c4e8b1736846c166976225;delivered;5;39.980;moveis_decoracao;11;900;30;10;25;ibitinga;7;37
05bf30d315c3cd05bdd6d2c5fe6715ab;delivered;4;149.900;esporte_lazer;5;1550;40;20;20;cascavel;4;42
05cb3989863f2d696e7adb7a1d06583c;delivered;4;205.000;cama_mesa_banho;5;9750;35;12;30;sao paulo;9;28
05e9bc89f173a1c9f33803d450b4d6d4;delivered;5;89.900;utilidades_domesticas;7;1200;35;19;25;sao bernardo do campo;6;10
060e1ac819a94ce82c9c18bc24b0ffb0;delivered;4;289.000;beleza_saude;1;3500;35;30;15;assis;8;24
061bc0c7c72d8e00f27eb8bb6ef532ed;delivered;5;139.000;utilidades_domesticas;4;9850;31;61;31;baependi;4;25
0625a51a63913d47fd1ce8045b8cd7b2;delivered;5;44.900;fashion_bolsas_e_acessorios;6;200;16;9;11;sete lagoas;4;41
0640062fec29c39b9439521809500e2f;delivered;5;49.000;relogios_presentes;7;400;16;2;20;sao paulo;9;25
0643e09decfa0910bdc5645ff1914b3c;delivered;5;179.900;ferramentas_jardim;2;850;24;13;18;rio claro;4;18
064cfe639ae8d4f18f620010569ba4d4;delivered;5;29.500;esporte_lazer;2;350;67;15;15;canoinhas;7;30
065d03dd5bc03e680bd200d1e83524ea;delivered;3;419.900;construcao_ferramentas_construcao;4;2200;60;30;15;rio do sul;6;35
06aa3111724159bb69b8568181ec05c4;delivered;5;579.000;brinquedos;1;2238;24;45;27;sao paulo;9;25
06b5d8a0750e34a243749c727cf821a8;delivered;5;28.800;automotivo;1;500;30;15;20;sao paulo;8;32
06d59a33d8c50ca9f7e3fff4f7b2a0dc;delivered;5;79.980;moveis_escritorio;1;7463;56;64;35;itaquaquecetuba;15;21
06f47dacd0575e592bf6a17e922ce6cd;delivered;1;12.000;esporte_lazer;3;150;30;18;23;sao paulo;6;13
071a678bd71a9b375f6b4434d3d263eb;delivered;4;199.900;perfumaria;1;325;22;14;23;campinas;4;17
072acf9d8380c41473d4cd02d6afa3c7;delivered;5;19.900;beleza_saude;1;178;18;11;17;sao jose do rio preto;5;19
0738665bf32619b4bcf109fa470565d8;delivered;4;109.950;esporte_lazer;5;500;25;14;22;ibia;4;22
0740b5195e24d11d9306b88e125550be;delivered;4;49.000;ferramentas_jardim;2;1750;37;22;40;sao jose do rio preto;6;20
076203ce8dc1f2cd63b81fc4c67cf370;delivered;5;9.900;papelaria;1;300;16;16;11;videira;9;36
07699a7d1ea339fed7f5f38adf1d5ed5;delivered;5;73.350;moveis_decoracao;7;1000;31;11;26;ibitinga;6;32
0804475d14abed07c40f065687d3b635;delivered;1;119.990;eletronicos;3;213;16;7;12;itapecerica da serra;6;13
080797bb72a234058f3720ad871d7a25;delivered;5;119.000;automotivo;2;1650;17;7;12;fazenda rio grande;4;24
082a51322e031497709df4bb4a9355f0;delivered;5;59.900;instrumentos_musicais;4;900;42;8;40;sao paulo;7;35
083137fabb55b020fdba930b49d970aa;delivered;5;265.990;informatica_acessorios;2;350;20;5;20;sao paulo;5;16
0852ecb3f87746824c5aaa4f1c9769b0;delivered;4;240.350;informatica_acessorios;2;400;28;6;20;congonhas;6;23
08667b6077f24d86950b1642b5ca9632;delivered;5;89.990;cool_stuff;3;1200;42;25;15;sao paulo;2;8
0871369412bd49aef1b9f916700a9495;delivered;5;29.000;relogios_presentes;4;250;16;2;11;sao paulo;8;13
08913e18157ef621b72cce92496501cb;delivered;3;74.900;cama_mesa_banho;1;850;38;10;38;piracicaba;7;31
0892885f440d50beeabdffc99340412d;delivered;3;229.900;perfumaria;2;5446;21;14;18;petropolis;11;26
0893bf3db065b44ddb6512848ad77505;delivered;5;19.900;audio;1;250;27;5;20;sao paulo;7;14
0897cac972d6802fd16947dc6fe89dd5;delivered;1;209.000;eletrodomesticos;10;12900;25;25;25;santo andre;10;26
08a92cebf9a4f88f48dd916f24c45951;delivered;1;79.900;informatica_acessorios;1;150;16;16;16;campinas;8;24
08c69eef1fba00aba764c456c64cd637;delivered;5;109.990;industria_comercio_e_negocios;1;250;16;11;16;novo hamburgo;4;19
08c9d79ec0eba1d252e3f52f14b8e6a9;delivered;5;41.000;pet_shop;2;5450;30;30;30;sao paulo;10;28
08e008c791f49ef04557b07968c6da04;delivered;5;134.990;esporte_lazer;5;1550;40;20;20;cascavel;2;22
092a4877cab1eb01f447ef8607e1496c;delivered;4;110.000;bebes;2;1200;75;15;50;arapongas;8;25
094a719c72f1a7cb2e76527e65bf4074;delivered;5;249.900;construcao_ferramentas_construcao;8;1450;30;10;20;sao paulo;2;18
09762988ef3f88985f04a8ac3992882c;delivered;5;65.000;cds_dvds_musicais;2;550;35;15;25;jacarei;12;20
098c86ab870d0b9ade1759eb2c4df769;delivered;5;73.000;informatica_acessorios;1;173;18;13;12;maringa;13;30
09b6cfb705cab248cdb1ed054e6169ce;delivered;5;1.360.020;informatica_acessorios;3;1900;26;10;20;ilheus;6;27
09e1e08ebf0896ce617c1af63140107b;delivered;4;86.900;cama_mesa_banho;1;1383;50;10;40;ibitinga;4;21
09eb9450fb4e43a5dfbb06adeb838990;delivered;1;89.900;esporte_lazer;1;443;26;18;17;curitiba;9;18
09ec51e0490d68a0ae19048bdaa6da60;delivered;5;15.900;esporte_lazer;2;150;45;10;11;sao paulo;5;17
0a1077b45a9f0e26b4274045adcd99c9;delivered;5;60.000;moveis_decoracao;1;700;30;30;30;santo andre;6;20
0a1142bd78f4693d1558f455116c4352;delivered;5;47.650;beleza_saude;1;1110;19;11;18;indaiatuba;6;20
0a89163ec3c6af777389064b6fced13d;delivered;5;274.900;cama_mesa_banho;3;12000;60;23;54;sao paulo;2;4
0a9fec1d2c754b437ecc0427461820a1;delivered;5;54.430;brinquedos;1;650;21;18;28;sao paulo;6;29
0ab203fa324409ddf46525ed11a406ba;delivered;5;134.490;papelaria;3;400;44;24;32;londrina;10;56
086228b03b7e2891de2f12888a20c8be;delivered;5;24.900;eletronicos;1;100;17;6;11;maringa;11;33
089309332406b2ac838750c5e933181f;delivered;2;80.000;consoles_games;1;567;20;14;18;curitiba;8;26
08ad3915b66a80899cc3f05c7392b30c;delivered;5;45.900;esporte_lazer;1;150;16;16;11;sao paulo;7;11
08b37b19f92587fcb93677a79084ca4e;delivered;5;118.000;perfumaria;1;400;19;13;19;santo andre;8;18
08d7544b65c28f6ec2d0fe463ef5ddaf;delivered;1;134.900;artigos_de_festas;1;2100;30;35;30;sao paulo;7;29
08f74143e67f8387862869601a7d93cd;delivered;5;69.900;beleza_saude;2;125;20;16;19;guarulhos;7;8
08fc0e1e103f6465356822200390b4b0;delivered;4;92.900;agro_industria_e_comercio;1;2650;52;13;32;marialva;9;39
094cb8ff58fff5bbbfab56e5e12af6f2;delivered;3;266.000;automotivo;2;723;23;15;15;sao paulo;4;22
09716d4181bad94853a76b357eaf3202;delivered;1;18.900;telefonia;2;100;18;6;11;sao paulo;6;35
098070e8c2b9d7e1965c2dd9d19741b4;delivered;3;34.900;market_place;5;150;16;9;11;sete lagoas;5;21
09eaacf3fe6f3098007f062f29e79da1;delivered;5;48.900;bebes;1;550;20;13;13;limeira;5;39
0a0c72ed700c4154c9d9a9f2773c5f2a;delivered;4;48.900;bebes;2;600;20;13;13;limeira;8;27
0a18dc9b77e58490b51d75a5b97ad30d;delivered;1;29.900;fashion_calcados;6;300;29;7;16;curitiba;4;25
0a59dc0cb88aa16afe4fdd5e91e30836;delivered;4;24.330;construcao_ferramentas_construcao;1;550;30;30;30;ribeirao pires;6;23
0a5c119c75e7f8dd3fff7b6ceaa0520d;delivered;5;189.000;automotivo;4;950;41;45;11;sao paulo;4;25
0a5d09b8756d5e3b6effecb5986e394d;delivered;5;47.490;moveis_decoracao;6;1170;22;12;20;sao bernardo do campo;7;35
0a5e3d54fe44f5df203f7c383d26dfad;delivered;5;1.599.990;pcs;4;2600;16;31;39;lauro de freitas;6;30
0a63634ec52a0eade5465cb0a8f299dc;delivered;5;525.000;ferramentas_jardim;1;11600;37;26;20;praia grande;4;30
0a706b513b7b8e223c30253b990ae789;delivered;5;129.000;relogios_presentes;4;400;16;2;11;sao paulo;5;19
0a7a21ecaa58c88d57b808539634a444;delivered;2;59.330;moveis_decoracao;8;1000;31;11;26;ibitinga;7;27
0a8dc4b486ca555a837fcdf5019c22d7;delivered;5;15.990;informatica_acessorios;1;100;16;6;14;sao paulo;4;17
0ab63ffeb12e341efe783d1728c704e3;delivered;5;388.000;bebes;3;10750;38;47;44;santa barbara d´oeste;7;21
0ab7ecbd201f6f66732df6dd71099462;delivered;3;130.000;bebes;5;1250;60;20;50;curitiba;5;30
0add87bb61dde125ca428f3c011f1364;delivered;4;14.000;ferramentas_jardim;4;300;104;9;12;sao paulo;4;22
0b035c402942737ed54a7ee47bc48da5;delivered;5;24.990;informatica_acessorios;2;500;19;9;16;sao paulo;4;11
0b04cd2cfde61f1e2ebec54a476a7845;delivered;3;59.900;brinquedos;2;3890;36;28;36;tatui;6;19
0b089b3a500fc00ffb7feb584ad3cac7;delivered;5;265.000;utilidades_domesticas;5;11400;45;19;45;uberlandia;4;24
0b1c7b3f07e0e6d0dbf2191a1f46d5be;delivered;4;11.970;telefonia;1;175;18;4;16;sao paulo;7;16
